date,etf_open,etf_close,expiry,expiry_label,signal,day_trades,reversed,hedged,stop_loss,daily_pnl,daily_return,total_value,month
2026-01-06,3.278,3.303,2026-01-28,1月合约(剩16交易日),无,0,False,False,False,0.0,0.0,200000.0,2026-01
2026-01-07,3.311,3.311,2026-01-28,1月合约(剩15交易日),无,0,False,False,False,0.0,0.0,200000.0,2026-01
2026-01-08,3.291,3.287,2026-01-28,1月合约(剩14交易日),认沽,4,False,True,False,78.62,0.000393,200078.62,2026-01
2026-01-09,3.269,3.314,2026-01-28,1月合约(剩13交易日),无,0,False,False,False,0.0,0.0,200078.62,2026-01
2026-01-12,3.314,3.371,2026-01-28,1月合约(剩12交易日),无,0,False,False,False,0.0,0.0,200078.62,2026-01
2026-01-13,3.372,3.306,2026-01-28,1月合约(剩11交易日),无,0,False,False,False,0.0,0.0,200078.62,2026-01
2026-01-14,3.307,3.332,2026-01-28,1月合约(剩10交易日),无,0,False,False,False,0.0,0.0,200078.62,2026-01
2026-01-15,3.306,3.352,2026-01-28,1月合约(剩9交易日),认沽,4,True,False,False,-85.28,-0.000426,199993.34,2026-01
2026-01-16,3.382,3.346,2026-01-28,1月合约(剩8交易日),认购,4,True,False,False,-120.41,-0.000602,199872.93,2026-01
2026-01-19,3.327,3.318,2026-01-28,1月合约(剩7交易日),认沽,2,False,False,False,-52.63,-0.000263,199820.3,2026-01
2026-01-20,3.319,3.263,2026-01-28,1月合约(剩6交易日),无,0,False,False,False,0.0,0.0,199820.3,2026-01
2026-01-21,3.243,3.281,2026-02-25,2月合约(剩19交易日),认沽,4,True,False,False,-105.71,-0.000529,199714.59,2026-01
2026-01-22,3.298,3.315,2026-02-25,2月合约(剩18交易日),认购,2,False,False,False,79.0,0.000396,199793.59,2026-01
2026-01-23,3.322,3.337,2026-02-25,2月合约(剩17交易日),无,0,False,False,False,0.0,0.0,199793.59,2026-01
2026-01-26,3.352,3.305,2026-02-25,2月合约(剩16交易日),无,0,False,False,False,0.0,0.0,199793.59,2026-01
2026-01-27,3.31,3.327,2026-02-25,2月合约(剩15交易日),无,0,False,False,False,0.0,0.0,199793.59,2026-01
2026-01-28,3.342,3.307,2026-02-25,2月合约(剩14交易日),无,0,False,False,False,0.0,0.0,199793.59,2026-01
2026-01-29,3.297,3.292,2026-02-25,2月合约(剩13交易日),无,0,False,False,False,0.0,0.0,199793.59,2026-01
2026-01-30,3.286,3.335,2026-02-25,2月合约(剩12交易日),无,0,False,False,False,0.0,0.0,199793.59,2026-01
2026-02-02,3.338,3.252,2026-02-25,2月合约(剩11交易日),无,0,False,False,False,0.0,0.0,199793.59,2026-02
2026-02-03,3.302,3.313,2026-02-25,2月合约(剩10交易日),认购,2,False,False,False,-48.45,-0.000243,199745.14,2026-02
2026-02-04,3.29,3.297,2026-02-25,2月合约(剩9交易日),认沽,2,False,False,False,-190.17,-0.000952,199554.97,2026-02
2026-02-05,3.264,3.238,2026-02-25,2月合约(剩8交易日),认沽,4,False,True,False,94.03,0.000471,199649.0,2026-02
2026-02-06,3.21,3.229,2026-02-25,2月合约(剩7交易日),认沽,4,True,False,False,-365.05,-0.001828,199283.95,2026-02
2026-02-09,3.288,3.321,2026-02-25,2月合约(剩6交易日),认购,2,False,False,False,136.3,0.000684,199420.25,2026-02
2026-02-10,3.327,3.311,2026-03-25,3月合约(剩25交易日),无,0,False,False,False,0.0,0.0,199420.25,2026-02
2026-02-11,3.3,3.273,2026-03-25,3月合约(剩24交易日),无,0,False,False,False,0.0,0.0,199420.25,2026-02
2026-02-12,3.28,3.319,2026-03-25,3月合约(剩23交易日),无,0,False,False,False,0.0,0.0,199420.25,2026-02
2026-02-13,3.303,3.265,2026-03-25,3月合约(剩22交易日),无,0,False,False,False,0.0,0.0,199420.25,2026-02
2026-02-24,3.318,3.295,2026-03-25,3月合约(剩21交易日),认购,4,True,False,False,-124.97,-0.000627,199295.28,2026-02
2026-02-25,3.301,3.344,2026-03-25,3月合约(剩20交易日),无,0,False,False,False,0.0,0.0,199295.28,2026-02
2026-02-26,3.338,3.336,2026-03-25,3月合约(剩19交易日),无,0,False,False,False,0.0,0.0,199295.28,2026-02
2026-02-27,3.31,3.301,2026-03-25,3月合约(剩18交易日),认沽,2,False,False,False,34.72,0.000174,199330.0,2026-02
2026-03-02,3.251,3.282,2026-03-25,3月合约(剩17交易日),认沽,4,True,False,False,-215.35,-0.00108,199114.65,2026-03
2026-03-03,3.303,3.205,2026-03-25,3月合约(剩16交易日),认购,6,True,True,False,-11.71,-5.9e-05,199102.94,2026-03
2026-03-04,3.17,3.154,2026-03-25,3月合约(剩15交易日),认沽,2,False,False,False,39.15,0.000197,199142.09,2026-03
2026-03-05,3.216,3.206,2026-03-25,3月合约(剩14交易日),认购,2,False,False,False,-66.34,-0.000333,199075.75,2026-03
2026-03-06,3.191,3.225,2026-03-25,3月合约(剩13交易日),无,0,False,False,False,0.0,0.0,199075.75,2026-03
2026-03-09,3.183,3.201,2026-03-25,3月合约(剩12交易日),认沽,4,True,False,False,-315.46,-0.001585,198760.29,2026-03
2026-03-10,3.267,3.296,2026-03-25,3月合约(剩11交易日),认购,4,False,True,False,140.12,0.000705,198900.41,2026-03
2026-03-11,3.303,3.335,2026-03-25,3月合约(剩10交易日),无,0,False,False,False,0.0,0.0,198900.41,2026-03
2026-03-12,3.34,3.308,2026-03-25,3月合约(剩9交易日),无,0,False,False,False,0.0,0.0,198900.41,2026-03
2026-03-13,3.29,3.3,2026-03-25,3月合约(剩8交易日),无,0,False,False,False,0.0,0.0,198900.41,2026-03
2026-03-16,3.308,3.349,2026-03-25,3月合约(剩7交易日),无,0,False,False,False,0.0,0.0,198900.41,2026-03
2026-03-17,3.369,3.273,2026-03-25,3月合约(剩6交易日),认购,6,True,True,False,181.92,0.000915,199082.33,2026-03
2026-03-18,3.293,3.338,2026-04-22,4月合约(剩8交易日),认购,2,False,False,False,16.42,8.2e-05,199098.75,2026-03
2026-03-19,3.297,3.303,2026-04-22,4月合约(剩7交易日),认沽,2,False,False,False,-37.28,-0.000187,199061.47,2026-03
2026-03-20,3.337,3.341,2026-04-22,4月合约(剩6交易日),认购,4,False,True,False,94.82,0.000476,199156.29,2026-03
2026-03-23,3.3,3.228,2026-04-22,4月合约(剩5交易日),认沽,4,False,True,False,203.41,0.001021,199359.7,2026-03
2026-03-24,3.275,3.237,2026-04-22,4月合约(剩4交易日),认购,4,True,False,False,-620.04,-0.00311,198739.66,2026-03
2026-03-25,3.279,3.307,2026-04-22,4月合约(剩3交易日),认购,4,False,True,False,88.69,0.000446,198828.35,2026-03
2026-03-26,3.306,3.263,2026-04-22,4月合约(剩2交易日),无,0,False,False,False,0.0,0.0,198828.35,2026-03
2026-03-27,3.241,3.293,2026-04-22,4月合约(剩1交易日),认沽,4,True,False,False,-143.64,-0.000722,198684.71,2026-03
2026-03-30,3.242,3.264,2026-04-22,4月合约(剩0交易日),认沽,2,False,False,False,-114.24,-0.000575,198570.47,2026-03
